2025-01-12 03:51:16,893 - aiokafka.consumer.subscription_state - INFO - Updating subscribed topics to: frozenset({'my-topic'})
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - Discovered coordinator 1 for group my-group-test-1
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - Revoking previously assigned partitions set() for group my-group-test-1
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - (Re-)joining group my-group-test-1
2025-01-12 03:51:16,991 - aiokafka.consumer.group_coordinator - INFO - Joined group 'my-group-test-1' (generation 13) with member_id aiokafka-0.12.0-b2563333-e016-42fc-b248-042e03d331f3
2025-01-12 03:51:16,991 - aiokafka.consumer.group_coordinator - INFO - Elected group leader -- performing partition assignments using roundrobin
2025-01-12 03:51:17,002 - aiokafka.consumer.group_coordinator - INFO - Successfully synced group my-group-test-1 with generation 13
2025-01-12 03:51:17,002 - aiokafka.consumer.group_coordinator - INFO - Setting newly assigned partitions {TopicPartition(topic='my-topic', partition=0)} for group my-group-test-1
2025-01-12 03:51:17,009 - root - INFO - get: Это цифра 1573, 03:51:17.009391
2025-01-12 03:51:17,009 - root - INFO - get: Это цифра 1574, 03:51:17.009491
2025-01-12 03:51:17,009 - root - INFO - get: Это цифра 1575, 03:51:17.009532
2025-01-12 03:51:17,009 - root - INFO - get: Это цифра 1576, 03:51:17.009564
2025-01-12 03:51:17,009 - root - INFO - get: Это цифра 1577, 03:51:17.009595
2025-01-12 03:51:17,009 - root - INFO - get: Это цифра 1578, 03:51:17.009624
2025-01-12 03:51:17,009 - root - INFO - get: Это цифра 1579, 03:51:17.009651
2025-01-12 03:51:18,441 - root - INFO - get: Это цифра 1580, 03:51:18.440990
2025-01-12 03:51:20,450 - root - INFO - get: Это цифра 1581, 03:51:20.450356
2025-01-12 03:51:22,452 - root - INFO - get: Это цифра 1582, 03:51:22.452798
2025-01-12 03:51:24,461 - root - INFO - get: Это цифра 1583, 03:51:24.461226
2025-01-12 03:51:26,472 - root - INFO - get: Это цифра 1584, 03:51:26.472323
2025-01-12 03:51:28,476 - root - INFO - get: Это цифра 1585, 03:51:28.476021
2025-01-12 03:51:30,482 - root - INFO - get: Это цифра 1586, 03:51:30.482622
2025-01-12 03:51:32,489 - root - INFO - get: Это цифра 1587, 03:51:32.489711
2025-01-12 03:51:34,492 - root - INFO - get: Это цифра 1588, 03:51:34.492334
2025-01-12 03:51:36,497 - root - INFO - get: Это цифра 1589, 03:51:36.497598
2025-01-12 03:51:38,508 - root - INFO - get: Это цифра 1590, 03:51:38.508337
2025-01-12 03:51:40,517 - root - INFO - get: Это цифра 1591, 03:51:40.516676
2025-01-12 03:51:42,518 - root - INFO - get: Это цифра 1592, 03:51:42.518622
2025-01-12 03:51:44,526 - root - INFO - get: Это цифра 1593, 03:51:44.526574
2025-01-12 03:51:46,531 - root - INFO - get: Это цифра 1594, 03:51:46.531432
2025-01-12 03:51:48,540 - root - INFO - get: Это цифра 1595, 03:51:48.540454
2025-01-12 03:51:50,543 - root - INFO - get: Это цифра 1596, 03:51:50.543058
2025-01-12 03:51:52,548 - root - INFO - get: Это цифра 1597, 03:51:52.547935
2025-01-12 03:51:54,555 - root - INFO - get: Это цифра 1598, 03:51:54.555563
2025-01-12 03:51:56,559 - root - INFO - get: Это цифра 1599, 03:51:56.558906
2025-01-12 03:51:58,565 - root - INFO - get: Это цифра 1600, 03:51:58.565278
2025-01-12 03:52:00,572 - root - INFO - get: Это цифра 1601, 03:52:00.572409
2025-01-12 03:52:02,578 - root - INFO - get: Это цифра 1602, 03:52:02.578193
2025-01-12 03:52:04,583 - root - INFO - get: Это цифра 1603, 03:52:04.583257
2025-01-12 03:52:06,589 - root - INFO - get: Это цифра 1604, 03:52:06.589717
2025-01-12 03:52:08,599 - root - INFO - get: Это цифра 1605, 03:52:08.598899
2025-01-12 03:52:10,601 - root - INFO - get: Это цифра 1606, 03:52:10.601480
2025-01-12 03:52:12,607 - root - INFO - get: Это цифра 1607, 03:52:12.607478
2025-01-12 03:52:14,610 - root - INFO - get: Это цифра 1608, 03:52:14.610757
2025-01-12 03:52:16,617 - root - INFO - get: Это цифра 1609, 03:52:16.617277
2025-01-12 03:52:18,622 - root - INFO - get: Это цифра 1610, 03:52:18.622475
2025-01-12 03:52:20,630 - root - INFO - get: Это цифра 1611, 03:52:20.630086
2025-01-12 03:52:22,635 - root - INFO - get: Это цифра 1612, 03:52:22.635380
2025-01-12 03:52:24,641 - root - INFO - get: Это цифра 1613, 03:52:24.641642
2025-01-12 03:52:26,650 - root - INFO - get: Это цифра 1614, 03:52:26.650026
2025-01-12 03:52:28,655 - root - INFO - get: Это цифра 1615, 03:52:28.655843
2025-01-12 03:52:30,657 - root - INFO - get: Это цифра 1616, 03:52:30.657859
2025-01-12 03:52:32,665 - root - INFO - get: Это цифра 1617, 03:52:32.665425
2025-01-12 03:52:34,667 - root - INFO - get: Это цифра 1618, 03:52:34.667559
2025-01-12 03:52:36,668 - root - INFO - get: Это цифра 1619, 03:52:36.668893
2025-01-12 03:52:38,674 - root - INFO - get: Это цифра 1620, 03:52:38.674297
2025-01-12 03:52:40,676 - root - INFO - get: Это цифра 1621, 03:52:40.676548
2025-01-12 03:52:42,686 - root - INFO - get: Это цифра 1622, 03:52:42.685935
2025-01-12 03:52:44,690 - root - INFO - get: Это цифра 1623, 03:52:44.690119
2025-01-12 03:52:46,696 - root - INFO - get: Это цифра 1624, 03:52:46.695931
2025-01-12 03:52:48,704 - root - INFO - get: Это цифра 1625, 03:52:48.704097
2025-01-12 03:52:50,703 - root - INFO - get: Это цифра 1626, 03:52:50.703584
2025-01-12 03:52:52,714 - root - INFO - get: Это цифра 1627, 03:52:52.714642
2025-01-12 03:52:54,720 - root - INFO - get: Это цифра 1628, 03:52:54.720155
2025-01-12 03:52:56,725 - root - INFO - get: Это цифра 1629, 03:52:56.724970
2025-01-12 03:52:58,731 - root - INFO - get: Это цифра 1630, 03:52:58.731725
2025-01-12 03:53:00,735 - root - INFO - get: Это цифра 1631, 03:53:00.735129
2025-01-12 03:53:02,741 - root - INFO - get: Это цифра 1632, 03:53:02.741616
2025-01-12 03:53:04,744 - root - INFO - get: Это цифра 1633, 03:53:04.744555
2025-01-12 03:53:06,751 - root - INFO - get: Это цифра 1634, 03:53:06.751506
2025-01-12 03:53:08,752 - root - INFO - get: Это цифра 1635, 03:53:08.752925
2025-01-12 03:53:10,755 - root - INFO - get: Это цифра 1636, 03:53:10.755563
2025-01-12 03:53:12,760 - root - INFO - get: Это цифра 1637, 03:53:12.760822
2025-01-12 03:53:14,769 - root - INFO - get: Это цифра 1638, 03:53:14.769073
2025-01-12 03:53:16,773 - root - INFO - get: Это цифра 1639, 03:53:16.773428
2025-01-12 03:53:18,780 - root - INFO - get: Это цифра 1640, 03:53:18.780045
2025-01-12 03:53:20,784 - root - INFO - get: Это цифра 1641, 03:53:20.784694
2025-01-12 03:53:22,795 - root - INFO - get: Это цифра 1642, 03:53:22.795526
2025-01-12 03:53:24,804 - root - INFO - get: Это цифра 1643, 03:53:24.804130
2025-01-12 03:53:26,814 - root - INFO - get: Это цифра 1644, 03:53:26.814126
2025-01-12 03:53:28,820 - root - INFO - get: Это цифра 1645, 03:53:28.820324
2025-01-12 03:53:30,823 - root - INFO - get: Это цифра 1646, 03:53:30.822985
2025-01-12 03:53:32,829 - root - INFO - get: Это цифра 1647, 03:53:32.829532
2025-01-12 03:53:34,833 - root - INFO - get: Это цифра 1648, 03:53:34.833269
2025-01-12 03:53:36,834 - root - INFO - get: Это цифра 1649, 03:53:36.834875
2025-01-12 03:53:38,841 - root - INFO - get: Это цифра 1650, 03:53:38.841380
2025-01-12 03:53:40,842 - root - INFO - get: Это цифра 1651, 03:53:40.842564
2025-01-12 03:53:42,851 - root - INFO - get: Это цифра 1652, 03:53:42.851511
2025-01-12 03:53:44,854 - root - INFO - get: Это цифра 1653, 03:53:44.854261
2025-01-12 03:53:46,857 - root - INFO - get: Это цифра 1654, 03:53:46.857859
2025-01-12 03:53:48,864 - root - INFO - get: Это цифра 1655, 03:53:48.864115
2025-01-12 03:53:50,868 - root - INFO - get: Это цифра 1656, 03:53:50.868498
2025-01-12 03:53:52,878 - root - INFO - get: Это цифра 1657, 03:53:52.877999
2025-01-12 03:53:54,882 - root - INFO - get: Это цифра 1658, 03:53:54.882738
2025-01-12 03:53:56,885 - root - INFO - get: Это цифра 1659, 03:53:56.885728
2025-01-12 03:53:58,890 - root - INFO - get: Это цифра 1660, 03:53:58.890096
2025-01-12 03:54:00,900 - root - INFO - get: Это цифра 1661, 03:54:00.900744
2025-01-12 03:54:02,902 - root - INFO - get: Это цифра 1662, 03:54:02.902036
2025-01-12 03:54:04,909 - root - INFO - get: Это цифра 1663, 03:54:04.909059
2025-01-12 03:54:06,918 - root - INFO - get: Это цифра 1664, 03:54:06.918771
2025-01-12 03:54:08,925 - root - INFO - get: Это цифра 1665, 03:54:08.925255
2025-01-12 03:54:10,930 - root - INFO - get: Это цифра 1666, 03:54:10.930408
2025-01-12 03:54:12,935 - root - INFO - get: Это цифра 1667, 03:54:12.935310
2025-01-12 03:54:14,940 - root - INFO - get: Это цифра 1668, 03:54:14.940672
2025-01-12 03:54:16,949 - root - INFO - get: Это цифра 1669, 03:54:16.949271
2025-01-12 03:54:18,957 - root - INFO - get: Это цифра 1670, 03:54:18.957867
2025-01-12 03:54:20,961 - root - INFO - get: Это цифра 1671, 03:54:20.961563
2025-01-12 03:54:22,961 - root - INFO - get: Это цифра 1672, 03:54:22.961358
2025-01-12 03:54:24,970 - root - INFO - get: Это цифра 1673, 03:54:24.969935
